YEAR,MONTH,MIN,MAX,HUMIDITY,RAINFALL
2015,1,13.54848485,25.3,68.97645161,10.529
2015,2,17.34242424,28.71212121,56.465,16.5
2015,3,19.66969697,31.90882353,48.82645161,25.82352941
2015,4,23.5030303,32.48529412,78.55433333,192.9117647
2015,5,25.26363636,34.11176471,85.99612903,171.2647059
2015,6,26.07878788,32.55588235,89.246,572.9117647
2015,7,25.04545455,31.07647059,89.48774194,834.7352941
2015,8,26.42727273,32.47529412,89.41,432.2352941
2015,9,25.83939394,32.77058824,87.948,318.7058824
2015,10,23.80909091,32.36470588,84.7316129,160.2352941
2015,11,18.66060606,30.33235294,80.358,6.029411765
2015,12,15.49393939,26.25882353,74.72580645,7.5
2016,1,12.73636364,25.15882353,67.05774194,7.352941176
2016,2,18.07272727,29.54411765,65.86655172,35.17647059
2016,3,21.45454545,32.77647059,58.50129032,75.79411765
2016,4,25.63636364,34.36470588,83.77,62.32352941
2016,5,24.67878788,33.81470588,85.32064516,349.6176471
2016,6,26.09393939,33.22941176,88.76433333,320.4117647
2016,7,26.48181818,31.79411765,89.4083871,591.2941176
2016,8,26.17575758,32.75294118,88.12935484,405.2352941
2016,9,26.08484848,32.89411765,89.617,267.4705882
2016,10,31.06363636,32.65882353,85.46225806,184.1764706
2016,11,19.05151515,29.71470588,82.47933333,86.38235294
2016,12,15.90909091,27.67941176,81.33290323,0
2017,1,12.57317073,26.34761905,70.63451613,0.72972973
2017,2,15.56428571,29.38095238,62.80821429,5
2017,3,19.15,30.02380952,70.82935484,126.7567568
2017,4,23.23333333,31.69285714,86.54833333,261.8648649
2017,5,25.24390244,33.97619048,85.86516129,233.2162162
2017,6,25.93170732,32.90952381,90.22266667,470.9459459
2017,7,26.08333333,31.76904762,89.3616129,677.7837838
2017,8,26.36097561,32.5547619,89.13903226,531.4324324
2017,9,26.20952381,32.8804878,89.18166667,356.1162791
2017,10,24.33571429,31.55952381,85.37129032,276.0232558
2017,11,23.06511628,29.41428571,81.756,11.06976744
2017,12,15.64186047,26.83571429,82.54,46.79069767
2018,1,11.02790698,23.52325581,80.92516129,2.813953488
2018,2,16.03488372,28.66744186,76.66571429,7.139534884
2018,3,20.3744186,32.34651163,66.68709677,20.55813953
2018,4,22.38139535,32.54883721,76.58766667,173.6744186
2018,5,23.85116279,32.00930233,87.10225806,316.1395349
2018,6,25.90232558,33.34651163,89.41633333,455.6976744
2018,7,26.3744186,32.19534884,87.53741935,496.8372093
2018,8,26.48372093,32.9,87.06677419,256.0930233
2018,9,26.05116279,33.24883721,87.41833333,183.6046512
2018,10,22.64418605,31.38139535,81.89322581,130.6511628
2018,11,17.9255814,29.99767442,80.659,4.511627907
2018,12,13.58837209,26.10930233,77.24806452,11.69767442
2019,1,12.09534884,26.7,67.35322581,0.441860465
2019,2,15.07674419,28,61.32785714,63.51162791
2019,3,19.24186047,31.2,59.88419355,50.46511628
2019,4,22.79534884,33.1,71.081,100.7209302
2019,5,25.04651163,34.1,83.20193548,224.4418605
2019,6,26.38372093,33.7,88.28566667,273.3023256
2019,7,26.26976744,32.5,89.23290323,624.4418605
2019,8,26.57209302,33.3,87.20709677,308.9534884
2019,9,25.85116279,32.4,86.97466667,314.4186047
2019,10,24.01627907,31.7,86.14677419,155.5348837
2019,11,19.66976744,30.1,82.54433333,82.44186047
2019,12,13.86744186,25,81.42967742,5.441860465
2020,1,13.43225806,22.98709677,80.80451613,30.23
2020,2,14.55172414,26.21724138,69.82965517,8.6
2020,3,19.52903226,30.47096774,58.49193548,36.32
2020,4,22.72,32.3,66.73466667,188.25
2020,5,24.67419355,31.36129032,81.75419355,474.41
2020,6,26.16,31.53666667,90.17666667,632.55
2020,7,26.30322581,31.52258065,89.70935484,725.97
2020,8,26.29032258,31.53870968,88.42774194,458.13
2020,9,26.16,31.78666667,88.961,567.44
2020,10,24.83225806,31.01612903,87.29709677,282.37
2020,11,18.44333333,28.29333333,81.406,18.37
2020,12,14.43225806,24.73225806,82.01483871,0.123
2021,1,14.6,28.9,77.66806452,0.209302326
2021,2,20.7,33.3,61.39214286,0.209302326
2021,3,28.4,34.6,57.58645161,10.04651163
2021,4,23.4,35,62.606,26.65116279
2021,5,24.8,34,79.84677419,202.6744186
2021,6,25.7,38.9,88.357,517.6511628
2021,7,26.3,39.1,87.65193548,473.9534884
2021,8,26.2,31.8,88.80064516,476.372093
2021,9,26,33.2,86.74166667,229.4418605
2021,10,29.9,39.8,84.73677419,200.4651163
2021,11,18.5,29.9,80.088,7.627906977
2021,12,15.2,26.7,80.6883871,57.93023256
2022,1,13.6,24.6,76.2616129,9.674418605
2022,2,14,26.6,67.73642857,37.23255814
2022,3,20.2,33.2,54.15193548,6.837209302
2022,4,24.7,33.4,74.93666667,81.25581395
2022,5,24.7,33,82.40354839,305.8139535
2022,6,25.9,32.4,89.77566667,424.3255814
2022,7,26.7,33.7,86.07064516,210.6744186
2022,8,26.4,33.5,85.48612903,255.5581395
2022,9,25.9,32.9,87.887,336.0465116
2022,10,24.1,32.5,85.23032258,227.3255814
2022,11,18.6,30.7,78.596,0.720930233
2022,12,14.9,27.4,70.96580645,3.465116279
2023,1,12.50588235,25.21470588,76.69,9.044117647
2023,2,15.10294118,27.79117647,72.23,25.52058824
2023,3,19.62941176,31.63529412,71,52.35588235
2023,4,23.12352941,33.20588235,75.31,130.2352941
2023,5,24.46764706,32.87647059,79.51,277.3441176
2023,6,25.57941176,31.89705882,85.06,459.3676471
2023,7,25.60882353,31.11764706,86.89,523.0382353
2023,8,25.72647059,31.37352941,86.11,420.3647059
2023,9,25.35588235,31.54117647,85.91,318.2205882
2023,10,23.63823529,31.52647059,83.2,160.3147059
2023,11,19.17647059,29.52941176,79.09,42.42941176
2023,12,14.17058824,26.43235294,77.97,9.638235294
